device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8548, val loss 10.8516
step 0: loss 10.8737, step_time 150.53 ms, throughput 108841.65 tokens/s
step 1: loss 10.1298, step_time 119.70 ms, throughput 136877.32 tokens/s
step 2: loss 9.7961, step_time 118.67 ms, throughput 138068.16 tokens/s
step 3: loss 9.6473, step_time 118.66 ms, throughput 138075.01 tokens/s
step 4: loss 9.4883, step_time 118.91 ms, throughput 137790.54 tokens/s
step 5: loss 9.3414, step_time 117.87 ms, throughput 139005.96 tokens/s
step 6: loss 9.2076, step_time 118.72 ms, throughput 138006.81 tokens/s
step 7: loss 9.0478, step_time 118.83 ms, throughput 137872.89 tokens/s
step 8: loss 8.9211, step_time 118.67 ms, throughput 138058.70 tokens/s
step 9: loss 8.7783, step_time 118.83 ms, throughput 137879.09 tokens/s
step 10: loss 8.6061, step_time 118.93 ms, throughput 137759.65 tokens/s
step 11: loss 8.4869, step_time 118.74 ms, throughput 137986.22 tokens/s
step 12: loss 8.3304, step_time 118.21 ms, throughput 138604.31 tokens/s
step 13: loss 8.2273, step_time 118.38 ms, throughput 138406.42 tokens/s
step 14: loss 8.0460, step_time 119.39 ms, throughput 137233.01 tokens/s
step 15: loss 7.9638, step_time 118.45 ms, throughput 138325.63 tokens/s
step 16: loss 7.8103, step_time 118.49 ms, throughput 138275.98 tokens/s
step 17: loss 7.6738, step_time 119.30 ms, throughput 137329.05 tokens/s
step 18: loss 7.5842, step_time 118.47 ms, throughput 138292.95 tokens/s
step 19: loss 7.4353, step_time 118.97 ms, throughput 137714.92 tokens/s
step 20: loss 7.3100, step_time 118.78 ms, throughput 137940.46 tokens/s
step 21: loss 7.2446, step_time 118.89 ms, throughput 137809.63 tokens/s
step 22: loss 7.1505, step_time 118.93 ms, throughput 137758.85 tokens/s
step 23: loss 7.0226, step_time 118.82 ms, throughput 137887.14 tokens/s
step 24: loss 7.0073, step_time 118.95 ms, throughput 137736.40 tokens/s
step 25: loss 6.8951, step_time 118.27 ms, throughput 138524.86 tokens/s
step 26: loss 6.8328, step_time 118.92 ms, throughput 137770.67 tokens/s
step 27: loss 6.7323, step_time 119.16 ms, throughput 137493.08 tokens/s
step 28: loss 6.6666, step_time 118.12 ms, throughput 138708.81 tokens/s
step 29: loss 6.6707, step_time 119.07 ms, throughput 137598.27 tokens/s
step 30: loss 6.5588, step_time 119.12 ms, throughput 137537.73 tokens/s
step 31: loss 6.5397, step_time 119.25 ms, throughput 137386.58 tokens/s
step 32: loss 6.4995, step_time 118.90 ms, throughput 137801.95 tokens/s
step 33: loss 6.4625, step_time 118.78 ms, throughput 137932.03 tokens/s
step 34: loss 6.3951, step_time 120.05 ms, throughput 136477.97 tokens/s
step 35: loss 6.3501, step_time 119.26 ms, throughput 137382.47 tokens/s
step 36: loss 6.3730, step_time 118.68 ms, throughput 138050.19 tokens/s
step 37: loss 6.2985, step_time 121.38 ms, throughput 134975.81 tokens/s
step 38: loss 6.2798, step_time 119.02 ms, throughput 137661.65 tokens/s
step 39: loss 6.3082, step_time 119.32 ms, throughput 137316.07 tokens/s
