device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8549, val loss 10.8521
step 0: loss 10.8731, step_time 149.80 ms, throughput 109372.21 tokens/s
step 1: loss 10.1283, step_time 114.85 ms, throughput 142655.66 tokens/s
step 2: loss 9.7950, step_time 114.04 ms, throughput 143670.22 tokens/s
step 3: loss 9.6466, step_time 114.18 ms, throughput 143496.75 tokens/s
step 4: loss 9.4874, step_time 114.45 ms, throughput 143154.82 tokens/s
step 5: loss 9.3400, step_time 113.95 ms, throughput 143782.66 tokens/s
step 6: loss 9.2060, step_time 113.99 ms, throughput 143731.26 tokens/s
step 7: loss 9.0453, step_time 113.80 ms, throughput 143969.89 tokens/s
step 8: loss 8.9181, step_time 114.29 ms, throughput 143351.50 tokens/s
step 9: loss 8.7746, step_time 114.03 ms, throughput 143684.73 tokens/s
step 10: loss 8.6010, step_time 113.56 ms, throughput 144274.62 tokens/s
step 11: loss 8.4809, step_time 113.52 ms, throughput 144323.94 tokens/s
step 12: loss 8.3236, step_time 113.87 ms, throughput 143884.68 tokens/s
step 13: loss 8.2200, step_time 114.02 ms, throughput 143699.19 tokens/s
step 14: loss 8.0375, step_time 114.06 ms, throughput 143641.54 tokens/s
step 15: loss 7.9546, step_time 114.15 ms, throughput 143526.53 tokens/s
step 16: loss 7.8008, step_time 114.03 ms, throughput 143679.92 tokens/s
step 17: loss 7.6632, step_time 114.07 ms, throughput 143633.24 tokens/s
step 18: loss 7.5729, step_time 112.79 ms, throughput 145258.33 tokens/s
step 19: loss 7.4238, step_time 113.18 ms, throughput 144761.72 tokens/s
step 20: loss 7.2977, step_time 114.89 ms, throughput 142603.98 tokens/s
step 21: loss 7.2289, step_time 112.96 ms, throughput 145047.44 tokens/s
step 22: loss 7.1364, step_time 114.19 ms, throughput 143479.83 tokens/s
step 23: loss 7.0080, step_time 114.15 ms, throughput 143529.74 tokens/s
step 24: loss 6.9932, step_time 114.23 ms, throughput 143433.29 tokens/s
step 25: loss 6.8805, step_time 114.38 ms, throughput 143242.85 tokens/s
step 26: loss 6.8171, step_time 113.05 ms, throughput 144931.33 tokens/s
step 27: loss 6.7169, step_time 114.15 ms, throughput 143527.93 tokens/s
step 28: loss 6.6529, step_time 114.59 ms, throughput 142984.98 tokens/s
step 29: loss 6.6570, step_time 113.95 ms, throughput 143783.86 tokens/s
step 30: loss 6.5452, step_time 114.20 ms, throughput 143470.59 tokens/s
step 31: loss 6.5269, step_time 114.53 ms, throughput 143055.27 tokens/s
step 32: loss 6.4860, step_time 114.38 ms, throughput 143245.25 tokens/s
step 33: loss 6.4489, step_time 114.24 ms, throughput 143423.07 tokens/s
step 34: loss 6.3826, step_time 114.41 ms, throughput 143198.35 tokens/s
step 35: loss 6.3375, step_time 114.60 ms, throughput 142968.73 tokens/s
step 36: loss 6.3613, step_time 114.06 ms, throughput 143648.84 tokens/s
step 37: loss 6.2877, step_time 113.70 ms, throughput 144104.74 tokens/s
step 38: loss 6.2689, step_time 113.67 ms, throughput 144131.69 tokens/s
step 39: loss 6.2995, step_time 114.80 ms, throughput 142715.53 tokens/s
step 40: loss 6.1769, step_time 114.84 ms, throughput 142665.50 tokens/s
step 41: loss 6.2302, step_time 114.27 ms, throughput 143383.91 tokens/s
step 42: loss 6.2464, step_time 114.69 ms, throughput 142848.48 tokens/s
step 43: loss 6.1626, step_time 114.22 ms, throughput 143442.84 tokens/s
step 44: loss 6.1509, step_time 114.28 ms, throughput 143369.20 tokens/s
step 45: loss 6.1108, step_time 113.23 ms, throughput 144699.22 tokens/s
step 46: loss 6.1748, step_time 114.30 ms, throughput 143346.39 tokens/s
