device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.9497, val loss 10.9528
step 0: loss 10.9265, step_time 160.49 ms, throughput 102087.04 tokens/s
step 1: loss 10.2746, step_time 130.17 ms, throughput 125866.77 tokens/s
step 2: loss 9.8775, step_time 129.27 ms, throughput 126745.47 tokens/s
step 3: loss 9.7074, step_time 129.58 ms, throughput 126438.46 tokens/s
step 4: loss 9.5422, step_time 129.27 ms, throughput 126742.23 tokens/s
step 5: loss 9.3999, step_time 129.23 ms, throughput 126779.69 tokens/s
step 6: loss 9.2682, step_time 129.72 ms, throughput 126299.22 tokens/s
step 7: loss 9.1079, step_time 129.63 ms, throughput 126393.14 tokens/s
step 8: loss 8.9869, step_time 129.72 ms, throughput 126303.40 tokens/s
step 9: loss 8.8455, step_time 128.42 ms, throughput 127581.73 tokens/s
step 10: loss 8.6726, step_time 129.96 ms, throughput 126069.26 tokens/s
step 11: loss 8.5559, step_time 129.67 ms, throughput 126351.66 tokens/s
step 12: loss 8.3950, step_time 129.72 ms, throughput 126305.64 tokens/s
step 13: loss 8.2936, step_time 129.42 ms, throughput 126597.41 tokens/s
step 14: loss 8.1117, step_time 130.71 ms, throughput 125347.93 tokens/s
step 15: loss 8.0308, step_time 129.69 ms, throughput 126330.96 tokens/s
step 16: loss 7.8841, step_time 129.10 ms, throughput 126909.68 tokens/s
step 17: loss 7.7559, step_time 129.58 ms, throughput 126442.44 tokens/s
step 18: loss 7.6684, step_time 130.51 ms, throughput 125534.96 tokens/s
step 19: loss 7.5250, step_time 129.61 ms, throughput 126407.97 tokens/s
step 20: loss 7.4117, step_time 130.25 ms, throughput 125785.77 tokens/s
step 21: loss 7.3281, step_time 129.85 ms, throughput 126176.36 tokens/s
step 22: loss 7.2267, step_time 130.33 ms, throughput 125709.03 tokens/s
step 23: loss 7.0861, step_time 128.92 ms, throughput 127082.44 tokens/s
step 24: loss 7.0610, step_time 130.54 ms, throughput 125512.47 tokens/s
