device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8549, val loss 10.8521
step 0: loss 10.8731, step_time 145.40 ms, throughput 112683.38 tokens/s
step 1: loss 10.1283, step_time 113.87 ms, throughput 143880.69 tokens/s
step 2: loss 9.7950, step_time 114.06 ms, throughput 143643.27 tokens/s
step 3: loss 9.6466, step_time 115.11 ms, throughput 142336.34 tokens/s
step 4: loss 9.4874, step_time 114.92 ms, throughput 142568.12 tokens/s
step 5: loss 9.3400, step_time 114.32 ms, throughput 143314.08 tokens/s
step 6: loss 9.2060, step_time 114.39 ms, throughput 143231.84 tokens/s
step 7: loss 9.0453, step_time 114.27 ms, throughput 143384.74 tokens/s
step 8: loss 8.9181, step_time 114.09 ms, throughput 143609.99 tokens/s
step 9: loss 8.7746, step_time 114.37 ms, throughput 143256.98 tokens/s
step 10: loss 8.6010, step_time 114.40 ms, throughput 143222.87 tokens/s
step 11: loss 8.4809, step_time 113.97 ms, throughput 143761.54 tokens/s
step 12: loss 8.3236, step_time 114.05 ms, throughput 143662.16 tokens/s
step 13: loss 8.2200, step_time 113.35 ms, throughput 144540.16 tokens/s
step 14: loss 8.0375, step_time 114.11 ms, throughput 143585.97 tokens/s
step 15: loss 7.9546, step_time 114.21 ms, throughput 143449.03 tokens/s
step 16: loss 7.8008, step_time 113.99 ms, throughput 143729.70 tokens/s
step 17: loss 7.6632, step_time 113.78 ms, throughput 143998.15 tokens/s
step 18: loss 7.5729, step_time 113.96 ms, throughput 143771.72 tokens/s
step 19: loss 7.4238, step_time 114.30 ms, throughput 143340.10 tokens/s
step 20: loss 7.2977, step_time 113.16 ms, throughput 144783.68 tokens/s
step 21: loss 7.2289, step_time 114.09 ms, throughput 143611.14 tokens/s
step 22: loss 7.1364, step_time 114.31 ms, throughput 143323.77 tokens/s
step 23: loss 7.0080, step_time 113.01 ms, throughput 144976.58 tokens/s
step 24: loss 6.9932, step_time 114.28 ms, throughput 143362.47 tokens/s
step 25: loss 6.8805, step_time 114.22 ms, throughput 143448.31 tokens/s
step 26: loss 6.8171, step_time 114.26 ms, throughput 143391.70 tokens/s
step 27: loss 6.7169, step_time 114.57 ms, throughput 143002.11 tokens/s
step 28: loss 6.6529, step_time 113.23 ms, throughput 144695.91 tokens/s
step 29: loss 6.6570, step_time 114.11 ms, throughput 143575.66 tokens/s
step 30: loss 6.5452, step_time 114.65 ms, throughput 142904.19 tokens/s
step 31: loss 6.5269, step_time 113.84 ms, throughput 143917.40 tokens/s
step 32: loss 6.4860, step_time 114.21 ms, throughput 143451.65 tokens/s
step 33: loss 6.4489, step_time 114.69 ms, throughput 142853.37 tokens/s
step 34: loss 6.3826, step_time 114.49 ms, throughput 143100.01 tokens/s
step 35: loss 6.3375, step_time 114.31 ms, throughput 143324.68 tokens/s
step 36: loss 6.3613, step_time 114.32 ms, throughput 143311.24 tokens/s
step 37: loss 6.2877, step_time 114.56 ms, throughput 143019.07 tokens/s
step 38: loss 6.2689, step_time 114.30 ms, throughput 143342.87 tokens/s
step 39: loss 6.2995, step_time 113.75 ms, throughput 144040.62 tokens/s
step 40: loss 6.1769, step_time 114.03 ms, throughput 143687.74 tokens/s
step 41: loss 6.2302, step_time 114.77 ms, throughput 142752.71 tokens/s
step 42: loss 6.2464, step_time 114.28 ms, throughput 143365.52 tokens/s
step 43: loss 6.1626, step_time 114.30 ms, throughput 143337.74 tokens/s
step 44: loss 6.1509, step_time 114.81 ms, throughput 142707.36 tokens/s
step 45: loss 6.1108, step_time 114.30 ms, throughput 143343.80 tokens/s
step 46: loss 6.1748, step_time 114.39 ms, throughput 143234.39 tokens/s
step 47: loss 6.0799, step_time 113.88 ms, throughput 143871.16 tokens/s
step 48: loss 6.0673, step_time 113.98 ms, throughput 143738.40 tokens/s
step 49: loss 6.0028, step_time 114.35 ms, throughput 143279.90 tokens/s
step 50: loss 6.0915, step_time 114.26 ms, throughput 143394.84 tokens/s
step 51: loss 6.0637, step_time 113.98 ms, throughput 143745.00 tokens/s
step 52: loss 6.0382, step_time 114.84 ms, throughput 142663.78 tokens/s
step 53: loss 6.0208, step_time 114.82 ms, throughput 142698.33 tokens/s
step 54: loss 6.0083, step_time 114.64 ms, throughput 142912.87 tokens/s
step 55: loss 5.9302, step_time 114.70 ms, throughput 142843.51 tokens/s
step 56: loss 5.9940, step_time 114.29 ms, throughput 143358.73 tokens/s
step 57: loss 5.9149, step_time 114.47 ms, throughput 143124.83 tokens/s
step 58: loss 5.8970, step_time 113.54 ms, throughput 144295.81 tokens/s
step 59: loss 5.9868, step_time 114.09 ms, throughput 143610.06 tokens/s
step 60: loss 5.9102, step_time 114.46 ms, throughput 143141.71 tokens/s
step 61: loss 5.9319, step_time 114.29 ms, throughput 143355.38 tokens/s
step 62: loss 5.8317, step_time 114.15 ms, throughput 143532.64 tokens/s
step 63: loss 5.8838, step_time 114.61 ms, throughput 142949.60 tokens/s
step 64: loss 5.8998, step_time 114.48 ms, throughput 143114.05 tokens/s
step 65: loss 5.8832, step_time 114.77 ms, throughput 142755.60 tokens/s
step 66: loss 5.7839, step_time 114.83 ms, throughput 142674.44 tokens/s
step 67: loss 5.7174, step_time 114.35 ms, throughput 143285.46 tokens/s
step 68: loss 5.7979, step_time 114.47 ms, throughput 143127.99 tokens/s
step 69: loss 5.8369, step_time 113.43 ms, throughput 144443.07 tokens/s
step 70: loss 5.7884, step_time 114.10 ms, throughput 143599.21 tokens/s
step 71: loss 5.7690, step_time 114.52 ms, throughput 143066.98 tokens/s
step 72: loss 5.6930, step_time 114.26 ms, throughput 143389.27 tokens/s
step 73: loss 5.7267, step_time 114.04 ms, throughput 143671.73 tokens/s
step 74: loss 5.7435, step_time 114.75 ms, throughput 142779.43 tokens/s
step 75: loss 5.7732, step_time 113.97 ms, throughput 143760.39 tokens/s
step 76: loss 5.6900, step_time 114.53 ms, throughput 143052.12 tokens/s
step 77: loss 5.6446, step_time 113.89 ms, throughput 143859.04 tokens/s
step 78: loss 5.6423, step_time 113.84 ms, throughput 143915.74 tokens/s
step 79: loss 5.6128, step_time 114.86 ms, throughput 142640.97 tokens/s
step 80: loss 5.6533, step_time 113.62 ms, throughput 144196.15 tokens/s
step 81: loss 5.6559, step_time 114.36 ms, throughput 143267.53 tokens/s
step 82: loss 5.6406, step_time 114.58 ms, throughput 142987.11 tokens/s
step 83: loss 5.5414, step_time 113.59 ms, throughput 144241.82 tokens/s
step 84: loss 5.6628, step_time 114.87 ms, throughput 142629.88 tokens/s
step 85: loss 5.5519, step_time 114.64 ms, throughput 142911.43 tokens/s
step 86: loss 5.5787, step_time 114.75 ms, throughput 142775.82 tokens/s
step 87: loss 5.4794, step_time 114.94 ms, throughput 142541.42 tokens/s
step 88: loss 5.5652, step_time 113.33 ms, throughput 144562.61 tokens/s
step 89: loss 5.4937, step_time 114.27 ms, throughput 143381.53 tokens/s
